solo_Rating,solo_KillDeathRatio,solo_WinRatio,solo_TimeSurvived,solo_RoundsPlayed,solo_Wins,solo_Losses,solo_Kills,solo_Assists,solo_Suicides,solo_HeadshotKills,solo_VehicleDestroys,solo_RoundMostKills,solo_WeaponAcquired,solo_AvgSurvivalTime,solo_WinPoints,solo_WalkDistance,solo_DamageDealt
2599.14,2.2,7.69,118796.36,91,7,84,185,9,2,34,2,9,1,1557.77,3204,160786.26,20142.41
2956.39,1.1,8.28,526310.19,326,27,299,328,37,1,38,5,7,2,1315.15,3572,490422.67,37885.46
2431.51,1.26,1.34,180348.67,224,3,221,278,11,2,53,2,7,1,742.92,3022,262450.62,33805.95
1698.09,2.88,27.27,13692.76,11,3,8,23,1,0,5,0,6,1,1244.8,1428,16345.62,2596.62
2393.1,3.39,23.27,226703.26,159,37,122,413,25,0,101,10,16,2,1372.91,5188,261859.21,46383.15
1354.32,6.5,33.33,3852.23,3,1,2,13,0,0,5,0,6,2,1245.04,2141,9022.8,1252.99
1894.04,2.78,11.11,30981.75,45,5,40,111,4,2,30,0,11,2,684.73,2524,45234.88,12215.6
2510.58,3.57,7.14,83562.13,70,5,65,232,4,1,75,1,13,0,1193.74,2053,102658.8,25303.02
1595.89,1.92,0,24773.47,26,0,26,50,3,1,9,2,9,2,871.88,3289,30948.79,5313.36
2796.76,2.01,6.77,331993.6,266,18,248,498,38,2,90,7,11,0,1248.1,2316,436967,59193.2
2782.33,1.98,10.54,769764.93,522,55,467,924,128,2,227,13,13,2,1094.65,6970,1027892.12,112104.62
2672.48,1.92,7.62,409171.8,341,26,315,604,43,6,101,7,8,2,1199.92,2221,495854.9,72919.99
1865.69,3.33,25,19454.57,12,3,9,30,2,0,6,0,7,2,1621.21,1561,30390,3563.12
1409.52,2.14,12.5,9468.39,8,1,7,15,0,0,1,0,6,1,1183.55,1183,10141.13,1871.67
1699.31,2,4.76,24782.99,21,1,20,40,4,0,9,0,7,0,1225.13,2438,37782.43,4635.81
2642.88,1.36,5.12,588012.9,469,24,445,606,46,5,103,3,8,0,1253.76,2217,727028.8,71200.58
2570.04,2,7.73,279586,194,15,179,358,30,0,59,3,11,1,1441.16,2139,362062,43774.36
2695.55,1.35,3.41,448190.68,440,15,425,573,48,0,124,8,10,1,1022.18,4281,651609.23,75885.13
1968.41,2.01,6.49,72983.9,77,5,72,145,9,0,20,2,10,1,947.84,1600,90949.02,16589.18
1906.64,1.24,1.56,54462.08,64,1,63,78,4,2,20,1,6,1,966.51,2589,79663.08,9301.71
2383.31,1.71,3.03,115274.4,132,4,128,219,16,0,34,4,11,0,873.29,1964,152848.5,26436.43
2775.5,2.49,16.52,464057.13,345,57,288,716,55,2,159,3,13,1,1026.29,3553,560155.62,81975.64
2226.08,2.57,15.91,48887.64,44,7,37,95,4,0,18,0,9,1,1111.08,1852,65641.17,11110.2
2365.97,1.31,2.48,149519.4,161,4,157,205,21,1,47,4,10,0,928.69,1943,287413.9,26298.5
2546.4,1.18,2.91,269843.66,275,8,267,315,24,0,57,4,8,2,1014.08,4163,364514.09,41230.74
2584.73,3.21,10.98,298003.51,264,29,235,754,57,0,207,9,12,1,1067.43,3779,431443.54,91175.07
2586.89,2.24,8.37,317077.67,263,22,241,539,22,2,92,0,10,2,1178.79,6515,344970.82,62258.4
2011.26,2.26,7.89,38562.82,38,3,35,79,5,0,21,1,10,2,1014.81,1649,60615.91,8531.12
2514.02,3.03,12.82,87079.27,78,10,68,206,9,0,59,0,10,1,1474.81,4178,144723.62,22232.69
2475.7,2.15,5.43,115186.78,92,5,87,187,19,0,31,2,12,2,1161.89,6974,116562.95,22356.6
1576.12,43,75,6435.56,4,3,1,43,0,0,16,0,16,2,1608.89,1313,12471.85,4269.08
1199.36,1.5,0,3044.31,4,0,4,6,1,0,3,0,6,1,761.08,995,2390.42,524.97
1363.61,1.16,3.85,27324.62,26,1,25,29,2,0,6,1,7,0,975.87,5473,36512.59,3546.67
1352.23,1.8,0,12275.91,15,0,15,27,0,0,6,0,10,2,818.39,1105,19338.99,3143.68
2199.82,1.27,1.16,87657.47,86,1,85,108,10,0,17,0,9,0,1019.27,1823,112798.3,13480.03
2451.87,1.41,1.04,116909.81,96,1,95,134,12,0,12,2,8,2,1412.29,3078,127126.59,16717.24
1747.98,1.48,1.39,73833.15,144,2,142,210,17,0,52,0,10,0,512.73,1392,96584.45,25589.5
2082.23,1.14,1.28,82894.57,78,1,77,88,14,1,11,3,6,1,1062.75,1734,111084.9,11013.06
1229.42,1,0,1711.06,1,0,1,1,0,0,1,0,1,2,1711.06,1025,2450.27,149.03
1605.3,5.17,33.33,11539.34,9,3,6,31,1,0,6,0,8,0,1282.15,1339,19861.35,3714.04
2132.59,3.2,5.41,39733.43,37,2,35,112,4,1,37,1,10,0,1073.88,1739,60324.53,12683.59
1625.08,0.99,2.82,54952.28,71,2,69,68,6,0,13,0,9,2,773.98,1336,82098.48,8316.72
2392.76,2.52,8.7,184830.26,184,16,168,423,36,3,106,6,11,0,1078.72,4968,239841.13,48585.26
1981.13,1.11,0.75,91371.06,134,1,133,147,7,2,31,0,10,1,681.87,1620,132182.9,17608.58
2225.15,1.15,1.39,76624.73,72,1,71,82,6,2,14,5,5,1,1064.23,1853,102659.8,9285.61
1971.57,1.98,3.7,43171.02,54,2,52,103,2,0,23,0,10,1,1062.16,2633,75967.88,11831.52
2453.92,2.59,10.2,172661.62,147,15,132,342,19,0,71,4,11,2,1419.46,3197,243171.36,39581.5
1563.23,3.33,14.29,10302.78,7,1,6,20,0,0,4,0,6,1,1471.82,1305,15786.06,2127.22
2162.24,1.28,0,80383.68,92,0,92,118,7,1,25,3,6,1,819.12,3800,124448.61,15143.45
2550.02,3.21,11.69,209284,154,18,136,437,34,1,98,5,10,2,1358.99,2102,244448.7,49111.89
1608.95,1.21,5,23308.29,20,1,19,23,3,1,0,0,6,1,1165.41,1344,38046.09,3511.34
2164.76,1.47,0.41,133196.04,246,1,245,359,20,3,88,3,13,0,673.3,3786,203492.37,42739.26
2210.05,1.72,8.57,48202.63,35,3,32,55,4,0,15,0,7,2,1377.22,1847,51094.1,6212.92
2513.16,0.91,1.15,170827.27,174,2,172,156,9,0,29,0,6,2,1064.88,3101,237327.98,20858.8
2557.58,1.88,3.24,277021.99,340,11,329,618,22,3,208,2,15,2,881.79,7165,378419.47,70595.29
